spat_temp_id,spat_temp_id_str,fishnet_id,temp_day_id
1,1_1,1,1
2,1_2,1,2
3,1_3,1,3
4,1_4,1,4
5,1_5,1,5
6,1_6,1,6
7,1_7,1,7
8,1_8,1,8
9,1_9,1,9
10,1_10,1,10
11,1_11,1,11
12,1_12,1,12
13,1_13,1,13
14,1_14,1,14
15,1_15,1,15
16,1_16,1,16
17,1_17,1,17
18,1_18,1,18
19,1_19,1,19
20,1_20,1,20
21,1_21,1,21
22,1_22,1,22
23,1_23,1,23
24,1_24,1,24
25,1_25,1,25
26,1_26,1,26
27,1_27,1,27
28,1_28,1,28
29,1_29,1,29
30,1_30,1,30
31,1_31,1,31
32,1_32,1,32
33,1_33,1,33
34,1_34,1,34
35,1_35,1,35
36,1_36,1,36
37,1_37,1,37
38,1_38,1,38
39,1_39,1,39
40,2_1,2,1
41,2_2,2,2
42,2_3,2,3
43,2_4,2,4
44,2_5,2,5
45,2_6,2,6
46,2_7,2,7
47,2_8,2,8
48,2_9,2,9
49,2_10,2,10
50,2_11,2,11
51,2_12,2,12
52,2_13,2,13
53,2_14,2,14
54,2_15,2,15
55,2_16,2,16
56,2_17,2,17
57,2_18,2,18
58,2_19,2,19
59,2_20,2,20
60,2_21,2,21
61,2_22,2,22
62,2_23,2,23
63,2_24,2,24
64,2_25,2,25
65,2_26,2,26
66,2_27,2,27
67,2_28,2,28
68,2_29,2,29
69,2_30,2,30
70,2_31,2,31
71,2_32,2,32
72,2_33,2,33
73,2_34,2,34
74,2_35,2,35
75,2_36,2,36
76,2_37,2,37
77,2_38,2,38
78,2_39,2,39
79,3_1,3,1
80,3_2,3,2
81,3_3,3,3
82,3_4,3,4
83,3_5,3,5
84,3_6,3,6
85,3_7,3,7
86,3_8,3,8
87,3_9,3,9
88,3_10,3,10
89,3_11,3,11
90,3_12,3,12
91,3_13,3,13
92,3_14,3,14
93,3_15,3,15
94,3_16,3,16
95,3_17,3,17
96,3_18,3,18
97,3_19,3,19
98,3_20,3,20
99,3_21,3,21
