spat_temp_id,spat_temp_id_str,dbscan_004_5_temp_id,temp_day_id
5623,0_1,0,1
5624,0_2,0,2
5625,0_3,0,3
5626,0_4,0,4
5627,0_5,0,5
5628,0_6,0,6
5629,0_7,0,7
5630,0_8,0,8
5631,0_9,0,9
5632,0_10,0,10
5633,0_11,0,11
5634,0_12,0,12
5635,0_13,0,13
5636,0_14,0,14
5637,0_15,0,15
5638,0_16,0,16
5639,0_17,0,17
5640,0_18,0,18
5641,0_19,0,19
5642,0_20,0,20
5643,0_21,0,21
5644,0_22,0,22
5645,0_23,0,23
5646,0_24,0,24
5647,0_25,0,25
5648,0_26,0,26
5649,0_27,0,27
5650,0_28,0,28
5651,0_29,0,29
5652,0_30,0,30
5653,0_31,0,31
5654,0_32,0,32
5655,0_33,0,33
5656,0_34,0,34
5657,0_35,0,35
5658,0_36,0,36
5659,0_37,0,37
5660,0_38,0,38
5661,0_39,0,39
